yf_ticker,market_cap,sector,industry,currency,exchange,short_name,quote_type,avg_volume,avg_volume_10d,free_float,shares_outstanding
FRE.DE,25176705024.0,Healthcare,Medical Care Facilities,EUR,GER,Fresenius SE & Co. KGaA       I,EQUITY,945584.0,1123317.0,410560548.0,563237277.0
FTK.DE,3661481984.0,Financial Services,Capital Markets,EUR,GER,flatexDEGIRO SE               N,EQUITY,399810.0,390541.0,86303763.0,106998305.0
G1A.DE,9998476288.0,Industrials,Specialty Industrial Machinery,EUR,GER,GEA Group AG                  I,EQUITY,348172.0,375862.0,145712373.0,160618100.0
G24.DE,4719281664.0,Communication Services,Internet Content & Information,EUR,GER,Scout24 SE                    N,EQUITY,297628.0,283194.0,69465517.0,70715482.0
GBF.DE,4089227264.0,Industrials,Engineering & Construction,EUR,GER,Bilfinger SE                  I,EQUITY,95480.0,100578.0,31313803.0,36939723.0
GFT.DE,444316352.0,Technology,Information Technology Services,EUR,GER,GFT Technologies SE           I,EQUITY,109228.0,61823.0,15355758.0,25564808.0
GXI.DE,589597760.0,Healthcare,Medical Instruments & Supplies,EUR,GER,Gerresheimer AG               I,EQUITY,381046.0,220664.0,32048630.0,34540000.0
HAG.DE,8861160448.0,Industrials,Aerospace & Defense,EUR,GER,HENSOLDT AG                   I,EQUITY,443441.0,557388.0,60175500.0,115500000.0
HBH.DE,1337328384.0,Consumer Cyclical,Home Improvement Retail,EUR,GER,Hornbach Holding AG&Co.KGaA   I,EQUITY,17807.0,13624.0,7917272.0,15996751.0
HDD.DE,418462432.0,Industrials,Specialty Industrial Machinery,EUR,GER,HEIDELBERGER DRUCKMASCHINEN AGI,EQUITY,791482.0,613984.0,237750666.0,304336334.0
HEI.DE,33381232640.0,Basic Materials,Building Materials,EUR,GER,Heidelberg Materials AG       I,EQUITY,583941.0,635290.0,125686564.0,175968536.0
HEN3.DE,27151845376.0,Consumer Defensive,Household & Personal Products,EUR,GER,Henkel AG & Co. KGaA          I,EQUITY,473792.0,515582.0,245520383.0,153428149.0
HFG.DE,553300416.0,Consumer Cyclical,Restaurants,EUR,GER,HelloFresh SE                 I,EQUITY,1196215.0,910953.0,120300189.0,143342081.0
HLE.DE,8222222336.0,Consumer Cyclical,Auto Parts,EUR,GER,HELLA GmbH & Co. KGaA         I,EQUITY,15172.0,10654.0,20455556.0,111111112.0
HNR1.DE,32898897920.0,Financial Services,Insurance - Reinsurance,EUR,GER,HANNOVER RUECK SE NA O.N.,EQUITY,154696.0,167135.0,60057373.0,120597134.0
HOT.DE,34024255488.0,Industrials,Engineering & Construction,EUR,GER,HOCHTIEF AG                   I,EQUITY,72628.0,75082.0,18283710.0,75241605.0
IFX.DE,55764135936.0,Technology,Semiconductors,EUR,GER,INFINEON TECHNOLOGIES AG      N,EQUITY,4428541.0,4494718.0,1301986980.0,1302139747.0
INH.DE,749002240.0,Industrials,Conglomerates,EUR,GER,INDUS HOLDING AG              I,EQUITY,59775.0,33719.0,21077078.0,26750079.0
JEN.DE,1764078720.0,Technology,Electronic Components,EUR,GER,JENOPTIK AG                   N,EQUITY,246685.0,210952.0,49332959.0,57238115.0
JUN3.DE,2931480064.0,Industrials,Specialty Industrial Machinery,EUR,GER,JUNGHEINRICH AG               I,EQUITY,133730.0,229204.0,48000180.0,48000000.0
KBX.DE,17119439872.0,Consumer Cyclical,Auto Parts,EUR,GER,Knorr-Bremse AG               I,EQUITY,186004.0,190332.0,61497800.0,161200000.0
KGX.DE,5905859584.0,Industrials,Farm & Heavy Construction Machinery,EUR,GER,KION GROUP AG                 I,EQUITY,395611.0,607172.0,70117660.0,131124771.0
KRN.DE,3898585088.0,Industrials,Specialty Industrial Machinery,EUR,GER,KRONES AG                     I,EQUITY,34081.0,34647.0,15196268.0,31593072.0
KWS.DE,2461799936.0,Basic Materials,Agricultural Inputs,EUR,GER,KWS SAAT SE & Co. KGaA        I,EQUITY,23515.0,21304.0,10096680.0,33000000.0
LEG.DE,4519133696.0,Real Estate,Real Estate Services,EUR,GER,LEG Immobilien SE             N,EQUITY,399496.0,421772.0,75570800.0,75570800.0
LHA.DE,9526773760.0,Industrials,Airlines,EUR,GER,DEUTSCHE LUFTHANSA AG         V,EQUITY,5813790.0,7226925.0,1018799525.0,1199241427.0
LXS.DE,1611222016.0,Basic Materials,Specialty Chemicals,EUR,GER,LANXESS AG                    I,EQUITY,825986.0,999780.0,85165949.0,86346303.0
MBG.DE,47675224064.0,Consumer Cyclical,Auto Manufacturers,EUR,GER,Mercedes-Benz Group AG        N,EQUITY,2549324.0,2607362.0,711985617.0,884840817.0
MRK.DE,48629907456.0,Healthcare,Drug Manufacturers - Specialty & Generic,EUR,GER,MERCK KGAA                    I,EQUITY,339751.0,300479.0,129237724.0,129242251.0
MTX.DE,17640542208.0,Industrials,Aerospace & Defense,EUR,GER,MTU Aero Engines AG           N,EQUITY,167649.0,186782.0,52155153.0,53831371.0
MUV2.DE,70302261248.0,Financial Services,Insurance - Reinsurance,EUR,GER,MUENCHENER RUECKVERS.-GES. AG N,EQUITY,300463.0,285860.0,127954211.0,127961889.0
NDA.DE,7753844224.0,Industrials,Metal Fabrication,EUR,GER,Aurubis AG                    I,EQUITY,233437.0,123396.0,30234750.0,43659030.0
NDX1.DE,10867258368.0,Industrials,Specialty Industrial Machinery,EUR,GER,Nordex SE                     I,EQUITY,665792.0,550800.0,118322127.0,236450364.0
NEM.DE,7074559488.0,Technology,Software - Application,EUR,GER,Nemetschek SE                 I,EQUITY,275579.0,195795.0,56932342.0,115408795.0
NOEJ.DE,491318208.0,Industrials,Metal Fabrication,EUR,GER,NORMA Group SE                N,EQUITY,96716.0,139037.0,54276473.0,31862400.0
P911.DE,37287231488.0,Consumer Cyclical,Auto Manufacturers,EUR,GER,Dr. Ing. h.c. F. Porsche AG   I,EQUITY,710328.0,622548.0,55115500.0,455500000.0
PAH3.DE,9879623680.0,Consumer Cyclical,Auto Manufacturers,EUR,GER,Porsche Automobil Holding SE  I,EQUITY,568537.0,656272.0,153125000.0,153125000.0
PBB.DE,426555680.0,Financial Services,Mortgage Finance,EUR,GER,Deutsche Pfandbriefbank AG    I,EQUITY,676633.0,434426.0,,134475308.0
PNE3.DE,674109376.0,Utilities,Utilities - Renewable,EUR,GER,PNE AG                        N,EQUITY,54341.0,58872.0,12454936.0,76603334.0
PUM.DE,3643420672.0,Consumer Cyclical,Footwear & Accessories,EUR,GER,PUMA SE                       I,EQUITY,1134272.0,909175.0,97837982.0,147208905.0
QIA.DE,7221889536.0,Healthcare,Diagnostics & Research,EUR,GER,Qiagen N.V.                   A,EQUITY,658752.0,538002.0,204129407.0,206074753.0
RAA.DE,7822560256.0,Industrials,Specialty Industrial Machinery,EUR,GER,RATIONAL AG                   I,EQUITY,16190.0,13242.0,6006885.0,11370000.0
RDC.DE,809568768.0,Healthcare,Pharmaceutical Retailers,EUR,GER,Redcare Pharmacy N.V.         A,EQUITY,160190.0,193699.0,13822068.0,20341307.0
RHM.DE,67735343104.0,Industrials,Aerospace & Defense,EUR,GER,RHEINMETALL AG                I,EQUITY,229578.0,267407.0,46395137.0,46273633.0
RRTL.DE,5880226304.0,Communication Services,Broadcasting,EUR,GER,RTL GROUP S.A.                A,EQUITY,120371.0,151549.0,33244544.0,154742806.0
