ticker,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,holding_days,exit_reason
VIT-B.ST,2015-04-17,42.11,2015-09-04,57.51,103,1566.35,36.6,140,REGIME_OFF_10W
GLPG.AS,2015-06-12,48.21,2015-09-04,51.16,24,50.87,6.1,84,REGIME_OFF_10W
CHEMM.CO,2015-08-07,25.63,2015-09-04,22.39,125,-425.0,-12.6,28,REGIME_OFF_10W
CVSG.L,2015-01-09,468.83,2015-09-18,629.84,7,1107.02,34.3,252,REGIME_OFF_10W
SAX.DE,2014-12-19,24.9,2015-10-09,47.13,132,2913.6,89.2,294,REGIME_OFF_10W
MSLH.L,2015-07-24,322.6,2015-10-16,337.01,13,167.22,4.5,84,REGIME_OFF_10W
VBK.DE,2015-11-20,5.43,2016-01-08,5.41,826,-37.48,-0.4,49,REGIME_OFF_10W
GFT.DE,2015-11-20,29.08,2016-01-08,27.48,156,-270.81,-5.5,49,REGIME_OFF_10W
DIM.PA,2015-11-20,56.25,2016-01-08,55.02,80,-119.17,-2.2,49,REGIME_OFF_10W
KIT.OL,2015-11-20,3.76,2016-01-08,3.58,1211,-233.98,-4.7,49,REGIME_OFF_10W
SRT3.DE,2015-11-20,53.87,2016-01-08,55.19,84,90.64,2.4,49,REGIME_OFF_10W
REY.MI,2015-11-20,30.15,2016-01-08,29.6,150,-102.31,-1.8,49,REGIME_OFF_10W
TTR1.DE,2015-11-20,17.59,2016-01-08,17.78,258,29.83,1.1,49,REGIME_OFF_10W
GMAB.CO,2015-11-20,844.2,2016-01-15,814.9,5,-166.47,-3.5,56,REGIME_OFF_10W
VIT-B.ST,2015-11-20,69.24,2016-01-15,60.7,65,-575.72,-12.3,56,HARD_STOP
TRI.PA,2015-11-20,51.05,2016-02-05,54.73,89,306.72,7.2,77,REGIME_OFF_10W
HYQ.DE,2016-07-15,88.83,2016-08-19,86.56,50,-133.85,-2.6,35,REGIME_OFF_10W
LIFCO-B.ST,2016-07-15,51.52,2016-08-19,48.81,86,-252.34,-5.2,35,REGIME_OFF_10W
REC.MI,2016-07-15,27.96,2016-08-19,26.95,158,-178.72,-3.6,35,REGIME_OFF_10W
BIG.PA,2016-07-15,4.07,2016-09-02,4.0,1090,-98.84,-1.8,49,REGIME_OFF_10W
UBI.PA,2016-07-15,33.79,2016-09-16,35.01,132,141.83,3.6,63,REGIME_OFF_10W
