date,equity,cash,positions,regime_on,circuit_breaker,returns
2012-12-28,23871.445650106678,274.8838720381341,10,True,False,0.010612297396590975
2013-01-04,24668.863970094928,38.12221270204418,10,True,False,0.03340469327565354
2013-01-11,25701.939186388263,38.12221270204418,10,True,False,0.04187769722779655
2013-01-18,25685.742399469622,407.1982863104431,10,True,False,-0.0006301776220534183
2013-01-25,26551.677030817278,407.1982863104431,10,True,False,0.03371265731316897
2013-02-01,26470.23457743288,407.1982863104431,10,True,False,-0.0030673186213387993
2013-02-08,26851.880033746966,407.1982863104431,10,True,False,0.014417909867691758
2013-02-15,27052.64697847963,3196.3820363104433,9,True,False,0.0074768300945908805
2013-02-22,27276.00822687746,464.4401497900576,10,True,False,0.008256539501495519
2013-03-01,27240.493393427143,464.4401497900576,10,True,False,-0.0013020539206071158
2013-03-08,28094.891731745014,464.4401497900576,10,True,False,0.03136500965595679
2013-03-15,28369.175550943623,464.4401497900576,10,True,False,0.00976276476939364
2013-03-22,27587.880377298603,464.4401497900576,10,True,False,-0.027540284779937196
2013-04-02,28294.59805536867,464.4401497900576,10,True,False,0.025616961810940975
2013-04-05,26876.21914637209,1954.5543895971869,9,True,False,-0.05012896476638429
2013-04-12,27989.714336038836,1954.5543895971869,9,True,False,0.04143049971435642
2013-04-19,27267.05359396816,6.718734596977583,10,True,False,-0.02581879662630915
2013-04-26,28458.396327828177,6.718734596977583,10,True,False,0.043691656297017545
2013-05-03,29087.791317795523,6.718734596977583,10,True,False,0.02211631965192251
2013-05-10,29479.791343067893,6.718734596977583,10,True,False,0.013476445185872432
2013-05-17,30581.83762639881,271.06267064930034,10,True,False,0.037383110026321775
2013-05-24,30664.917464197883,271.06267064930034,10,True,False,0.0027166398178557483
2013-05-31,30971.67765325428,271.06267064930034,10,True,False,0.01000362024174839
2013-06-07,30969.93265813709,271.06267064930034,10,True,False,-5.6341640150225913e-05
2013-06-14,30001.58228685261,7.43870069385639,10,True,False,-0.03126743548246169
2013-06-21,29469.562223324785,130.65300954343002,10,True,False,-0.017733066824310972
2013-06-28,30148.82377184392,130.65300954343002,10,True,False,0.023049597526138665
2013-07-05,30468.47426308156,130.65300954343002,10,True,False,0.010602419970233257
2013-07-12,30940.21549094678,130.65300954343002,10,True,False,0.015482929134946088
2013-07-19,31550.683736214647,130.65300954343002,10,True,False,0.019730575097206104
2013-07-26,31159.467714438448,130.65300954343002,10,True,False,-0.01239960518913108
2013-08-02,32253.53054631711,130.65300954343002,10,True,False,0.03511173046681093
2013-08-09,32034.779584097872,23.854585576068985,10,True,False,-0.006782233092439416
2013-08-16,31369.237141299258,23.854585576068985,10,True,False,-0.020775621104288544
2013-08-23,31863.86193125249,23.854585576068985,10,True,False,0.015767829728381644
2013-08-30,31065.672042775164,23.854585576068985,10,True,False,-0.025050004616497867
2013-09-06,31676.298655676852,23.854585576068985,10,True,False,0.01965599237836857
2013-09-13,32394.286327290545,23.854585576068985,10,True,False,0.022666400497679984
2013-09-20,33372.36750476361,23.854585576068985,10,True,False,0.03019301513826167
2013-09-27,33629.35462729932,23.854585576068985,10,True,False,0.007700596084440958
2013-10-04,34375.61913983823,23.854585576068985,10,True,False,0.02219086630741085
2013-10-11,35011.0830117941,23.854585576068985,10,True,False,0.018485888773983605
2013-10-18,36676.16158835889,23.854585576068985,10,True,False,0.04755861382533855
2013-10-25,36278.20803086759,23.854585576068985,10,True,False,-0.01085046908555487
2013-11-01,35932.08714668752,23.854585576068985,10,True,False,-0.009540738172226448
2013-11-08,35183.917304528964,1.4945101869225255,10,True,False,-0.02082177523126494
2013-11-15,35369.97361422898,1.4945101869225255,10,True,False,0.0052881067247183555
2013-11-22,35934.295346750034,1.4945101869225255,10,True,False,0.015954824809200296
2013-11-29,37394.56398726822,1.4945101869225255,10,True,False,0.040637185909094375
2013-12-06,37387.9963090551,1.4945101869225255,10,True,False,-0.0001756318970681514
2013-12-13,37216.603794111026,1.4945101869225255,10,True,False,-0.004584158870866384
2013-12-20,38164.92686606766,1.4945101869225255,10,True,False,0.02548118246369091
2013-12-27,37625.598919690856,16.675134958040417,10,True,False,-0.014131507398650878
2014-01-03,38714.52860480667,16.675134958040417,10,True,False,0.028941192070857324
2014-01-10,39442.87071869494,0.2773859274507231,10,True,False,0.018813146902112665
2014-01-17,39837.89244077326,0.2773859274507231,10,True,False,0.0100150347801915
2014-01-24,37850.701255168926,3.649960365307834,10,True,False,-0.04988193561089316
2014-01-31,38106.64008888246,3.649960365307834,10,True,False,0.006761798995166046
2014-02-07,38924.64836868287,3.649960365307834,10,True,False,0.021466292433351297
2014-02-14,40104.341650333416,3.649960365307834,10,True,False,0.03030710182599039
2014-02-21,40852.00379261018,3.649960365307834,10,True,False,0.018642922723818067
2014-02-28,41694.078921642315,3.649960365307834,10,True,False,0.02061282313854229
2014-03-07,41413.12260803224,3.649960365307834,10,True,False,-0.0067385182950819855
2014-03-14,39816.708664847625,0.7585069668418782,10,True,False,-0.038548504499271496
2014-03-21,41023.60857792021,0.7585069668418782,10,True,False,0.03031139322015597
2014-03-28,41504.58122654082,0.7585069668418782,10,True,False,0.011724289142117872
2014-04-04,41982.45321577193,1660.2609469235076,10,True,False,0.01151371668160639
2014-04-11,41309.91508405806,1660.2609469235076,10,True,False,-0.016019505298018433
2014-04-22,40688.75821416976,1660.2609469235076,10,True,False,-0.015036508030199625
2014-04-25,40300.86453312041,1660.2609469235076,10,True,False,-0.009533190445567885
2014-05-02,41295.87074535491,1660.2609469235076,10,True,False,0.024689450803636603
2014-05-09,40094.95605676772,1660.2609469235076,10,True,False,-0.029080745045732437
2014-05-16,38971.802925673735,25.204495040192796,10,True,False,-0.028012329767958533
2014-05-23,39101.259338125004,2141.9313661897318,10,True,False,0.003321796856516235
2014-05-30,40146.88958047272,2141.9313661897318,10,True,False,0.02674160014401883
2014-06-06,40677.732650502934,2141.9313661897318,10,True,False,0.013222520488571421
2014-06-13,39413.107415012135,1707.53547077538,10,True,False,-0.031088882125173356
2014-06-20,39156.42453505875,1059.684921525732,10,True,False,-0.00651262731584612
2014-06-27,38227.3602750528,639.0273030030876,10,True,False,-0.02372699425541558
2014-07-04,38784.91036298157,639.0273030030876,10,True,False,0.01458510563944504
2014-07-11,36873.40409322025,32.56828160525902,10,True,False,-0.049284792767905206
2014-07-18,36801.37859864475,32.56828160525902,10,True,False,-0.0019533182885260736
2014-07-25,36870.7478785062,32.56828160525902,10,True,False,0.0018849641644675952
2014-08-01,35567.52521616222,29409.191994726672,2,False,False,-0.03534570729723907
2014-08-08,34882.96476026775,32843.80722852947,1,False,False,-0.019246783455808103
2014-08-15,34902.57192274334,32843.80722852947,1,False,False,0.0005620841751936556
2014-08-22,34994.07265516521,32843.80722852947,1,False,False,0.002621604293930213
2014-08-29,34981.00112196209,32843.80722852947,1,False,False,-0.00037353563650432964
2014-09-05,34784.75100049736,1544.8646622634146,10,True,False,-0.0056101916803494856
2014-09-12,35085.218876702806,1278.8139074874139,10,True,False,0.008637919420528606
2014-09-19,35660.5443581176,1278.8139074874139,10,True,False,0.01639794477089107
2014-09-26,35399.11989494087,4509.304916341327,9,False,False,-0.007330916223583062
2014-10-06,34500.63240113976,10726.56186547997,7,False,False,-0.025381633680941373
2014-10-10,32701.06170304539,25769.301739056133,2,False,False,-0.05216051338336969
2014-10-17,32490.079604103586,28951.679701759836,1,False,False,-0.006451842477094738
2014-10-24,32730.87965293171,28951.679701759836,1,False,False,0.007411494578108524
2014-10-31,32951.67970175984,28951.679701759836,1,False,False,0.006745924679367743
2014-11-07,32901.27979941609,28951.679701759836,1,False,False,-0.0015295093543002958
2014-11-14,32867.67970175984,28951.679701759836,1,False,False,-0.0010212398381186372
2014-11-21,32689.094238989375,1086.3820559907176,10,True,False,-0.005433467296472982
2014-11-28,32747.833940022014,1086.3820559907176,10,True,False,0.0017969204225480873
2014-12-05,34322.95988749745,1086.3820559907176,10,True,False,0.048098629984514085
2014-12-12,33508.521746866725,1086.3820559907176,10,True,False,-0.023728668602598924
2014-12-19,33050.02564856055,712.8471269273978,10,True,False,-0.01368297001490515
2014-12-29,33454.56369587424,712.8471269273978,10,True,False,0.01224017347566897
2015-01-02,34305.04642340186,712.8471269273978,10,True,False,0.025422024189557746
2015-01-09,34274.69180405142,189.51666557791123,10,True,False,-0.0008848441414651687
2015-01-16,34045.392817807224,350.9191282510983,10,True,False,-0.006690037872699173
2015-01-23,34379.51998693946,350.9191282510983,10,True,False,0.009814166954110526
2015-01-30,35824.25598270896,350.9191282510983,10,True,False,0.04202315786603039
2015-02-06,36481.98896486762,350.9191282510983,10,True,False,0.018359990015595073
2015-02-13,36652.8775966883,350.9191282510983,10,True,False,0.0046841917524080845
2015-02-20,37424.82013113501,350.9191282510983,10,True,False,0.02106089849044923
2015-02-27,39111.459700417545,350.9191282510983,10,True,False,0.045067406159137624
2015-03-06,41016.2722242594,350.9191282510983,10,True,False,0.048702158866791745
2015-03-13,42453.47756655219,350.9191282510983,10,True,False,0.03503988208471909
2015-03-20,44218.9121177912,350.9191282510983,10,True,False,0.04158515750497549
2015-03-27,44233.877070260074,350.9191282510983,10,True,False,0.00033842877972678487
2015-04-07,45253.60252077582,350.9191282510983,10,True,False,0.023053042555958525
2015-04-10,46752.58295996192,350.9191282510983,10,True,False,0.033124002415010345
2015-04-17,43601.998457703616,7.380424294495242,10,True,False,-0.06738845862177079
2015-04-24,45004.99689177039,7.380424294495242,10,True,False,0.032177388277919494
2015-05-04,43717.07709005835,7.380424294495242,10,True,False,-0.028617262318876957
2015-05-08,42559.71233919623,7.380424294495242,10,True,False,-0.026473973739779555
2015-05-15,43327.792411599185,7.380424294495242,10,True,False,0.018047116161910015
2015-05-22,44825.44516542914,7.380424294495242,10,True,False,0.03456563721508754
2015-05-29,45312.7346008158,7.380424294495242,10,True,False,0.010870821998271385
2015-06-05,44996.00489176276,1179.7389425134895,9,True,False,-0.006989860838090722
2015-06-12,44625.24898848059,12.70251307013018,10,True,False,-0.008239751599592338
2015-06-19,44437.33112711432,225.54833979132218,10,True,False,-0.004211021016707006
2015-06-26,46465.339886612914,225.54833979132218,10,True,False,0.0456375013543775
2015-07-03,46747.87678236487,225.54833979132218,10,True,False,0.006080594620450741
2015-07-10,48237.58446020605,225.54833979132218,10,True,False,0.03186685215194984
2015-07-17,51538.93572802069,225.54833979132218,10,True,False,0.06843939854695891
2015-07-24,50599.892802958515,256.95017695906245,10,True,False,-0.018220068222162267
2015-07-31,49663.582814936664,256.95017695906245,10,True,False,-0.018504189162375173
2015-08-07,48166.44727820876,1994.6712820005673,10,True,False,-0.030145540290694273
2015-08-14,49070.81955642226,1994.6712820005673,10,True,False,0.01877598056983243
2015-08-21,45869.471451134705,20815.651127190613,6,False,False,-0.06523934456824398
2015-08-28,46665.71105226996,20815.651127190613,6,False,False,0.01735881351899815
2015-09-04,47180.13110527518,30735.631105275177,3,False,False,0.011023512583554496
2015-09-11,47234.13110527518,30735.631105275177,3,False,False,0.0011445495960895613
2015-09-18,46868.59620720389,35134.47610527518,2,False,False,-0.007738787387801982
2015-09-25,46893.416245045686,35134.47610527518,2,False,False,0.0005295664869515715
2015-10-02,46528.65608269217,35134.47610527518,2,False,False,-0.00777849411626208
2015-10-09,45921.39542572501,41345.39542572501,1,False,False,-0.01305132595895142
2015-10-16,45716.480083622955,45716.480083622955,0,False,False,-0.004462306517524994
2015-10-23,45716.480083622955,45716.480083622955,0,False,False,0.0
2015-10-30,45716.480083622955,45716.480083622955,0,False,False,0.0
2015-11-06,45716.480083622955,45716.480083622955,0,False,False,0.0
2015-11-13,45716.480083622955,45716.480083622955,0,False,False,0.0
2015-11-20,45392.983683849605,693.7037291777442,10,True,False,-0.007076144077182267
2015-11-27,45815.33633282307,693.7037291777442,10,True,False,0.009304359720326838
2015-12-04,47590.87000515583,693.7037291777442,10,False,False,0.038754133756314646
2015-12-11,47627.22366860035,693.7037291777442,10,False,False,0.0007638789423387582
2015-12-18,48481.22759368542,693.7037291777442,10,False,False,0.017931003726511463
2015-12-28,48415.4203727496,693.7037291777442,10,False,False,-0.0013573753017837031
2016-01-04,48460.30131032589,693.7037291777442,10,False,False,0.0009269967549749847
2016-01-08,45855.233404473096,31777.493418053422,3,False,False,-0.053756741815753184
2016-01-15,44747.8432822502,39777.19341805342,1,False,False,-0.02414969982717119
2016-01-22,44937.413377312456,39777.19341805342,1,False,False,0.004236407414465404
2016-01-29,44958.773526696,39777.19341805342,1,False,False,0.00047533108334918417
2016-02-05,44637.718418053424,44637.718418053424,0,False,False,-0.0071411002449152106
2016-02-12,44637.718418053424,44637.718418053424,0,False,False,0.0
